multiplier,std_time,unix_time
200.49,2024-04-13 23:57:59+00:00,1713052679
4.7,2024-04-13 23:58:37+00:00,1713052717
1.28,2024-04-13 23:58:48+00:00,1713052728
1.24,2024-04-13 23:59:23+00:00,1713052763
1.01,2024-04-13 23:59:48+00:00,1713052788
1.11,2024-04-14 00:00:16+00:00,1713052816
1.12,2024-04-14 00:01:16+00:00,1713052876
6.5,2024-04-14 00:02:16+00:00,1713052936
6.17,2024-04-14 00:04:09+00:00,1713053049
177.76,2024-04-14 00:04:22+00:00,1713053062
2.61,2024-04-14 00:04:52+00:00,1713053092
1.1,2024-04-14 00:06:04+00:00,1713053164
1.0,2024-04-14 00:06:30+00:00,1713053190
1.16,2024-04-14 00:07:51+00:00,1713053271
6.82,2024-04-14 00:08:48+00:00,1713053328
51.6,2024-04-14 00:09:16+00:00,1713053356
4.02,2024-04-14 00:09:30+00:00,1713053370
2.09,2024-04-14 00:10:10+00:00,1713053410
1.22,2024-04-14 00:10:58+00:00,1713053458
1.48,2024-04-14 00:11:45+00:00,1713053505
4.58,2024-04-14 00:12:33+00:00,1713053553
2.53,2024-04-14 00:13:28+00:00,1713053608
20.65,2024-04-14 00:13:47+00:00,1713053627
3.88,2024-04-14 00:14:11+00:00,1713053651
1.0,2024-04-14 00:14:27+00:00,1713053667
1.01,2024-04-14 00:15:00+00:00,1713053700
1.12,2024-04-14 00:15:55+00:00,1713053755
1.39,2024-04-14 00:17:01+00:00,1713053821
4.24,2024-04-14 00:17:52+00:00,1713053872
1.12,2024-04-14 00:18:20+00:00,1713053900
3.24,2024-04-14 00:19:11+00:00,1713053951
1.44,2024-04-14 00:19:35+00:00,1713053975
1.85,2024-04-14 00:19:50+00:00,1713053990
6.09,2024-04-14 00:21:01+00:00,1713054061
1.49,2024-04-14 00:21:20+00:00,1713054080
2.22,2024-04-14 00:22:42+00:00,1713054162
1.11,2024-04-14 00:22:56+00:00,1713054176
1.56,2024-04-14 00:24:24+00:00,1713054264
1.0,2024-04-14 00:24:46+00:00,1713054286
2.05,2024-04-14 00:25:30+00:00,1713054330
1.73,2024-04-14 00:27:10+00:00,1713054430
1.58,2024-04-14 00:28:11+00:00,1713054491
1.59,2024-04-14 00:29:06+00:00,1713054546
1.58,2024-04-14 00:29:25+00:00,1713054565
1.8,2024-04-14 00:29:58+00:00,1713054598
1.04,2024-04-14 00:30:21+00:00,1713054621
